address,country_code,house_number,street,town,state,postal_code,country
"52 CHRISTCHURCH STREET, KAITANGATA",NZ,52,CHRISTCHURCH STREET,KAITANGATA,,,
"11 THOMPSON ROAD, TUAPEKA MOUTH, CLYDEVALE",NZ,11,THOMPSON ROAD,CLYDEVALE,,,
"15 KING STREET, MOSGIEL",NZ,15,KING STREET,MOSGIEL,,,
"349 POUNAWEA ROAD, OWAKA",NZ,349,POUNAWEA ROAD,OWAKA,,,
"32 BRUNEL STREET, MORNINGTON, DUNEDIN",NZ,32,BRUNEL STREET,DUNEDIN,,,
"58 RYEHILL STREET, CALTON HILL, DUNEDIN",NZ,58,RYEHILL STREET,DUNEDIN,,,
"116 MAIN ROAD, FAIRFIELD, DUNEDIN",NZ,116,MAIN ROAD,DUNEDIN,,,
"1 MOUNT GRAND ROAD, MOUNT GRAND, DUNEDIN",NZ,1,MOUNT GRAND ROAD,DUNEDIN,,,
"19 DALRYMPLE STREET, PINE HILL, DUNEDIN",NZ,19,DALRYMPLE STREET,DUNEDIN,,,
"24 AVALON CRESCENT, FERNHILL, QUEENSTOWN",NZ,24,AVALON CRESCENT,QUEENSTOWN,,,
"71 MOOLTAN STREET, HALFWAY BUSH, DUNEDIN",NZ,71,MOOLTAN STREET,DUNEDIN,,,
"199 STUART STREET, DUNEDIN CENTRAL, DUNEDIN",NZ,199,STUART STREET,DUNEDIN,,,
"66 BALLANTYNE ROAD, WANAKA",NZ,66,BALLANTYNE ROAD,WANAKA,,,
"80 BUSH ROAD, MOSGIEL",NZ,80,BUSH ROAD,MOSGIEL,,,
"19 RUSSELL STREET, WANAKA",NZ,19,RUSSELL STREET,WANAKA,,,
"1A CASTLEWOOD ROAD, COMPANY BAY, DUNEDIN",NZ,1A,CASTLEWOOD ROAD,DUNEDIN,,,
"18 BRINGANS STREET, ALEXANDRA",NZ,18,BRINGANS STREET,ALEXANDRA,,,
"59 CHOLMONDELEY CRESCENT, WHITIANGA",NZ,59,CHOLMONDELEY CRESCENT,WHITIANGA,,,
"131 EGLINTON ROAD, MORNINGTON, DUNEDIN",NZ,131,EGLINTON ROAD,DUNEDIN,,,
