address,country_code,house_number,street,town,state,postal_code,country
"6 JURA STREET, MILTON",NZ,6,JURA STREET,MILTON,,,
"26 CROSSLEIGH CRESCENT, BALCLUTHA",NZ,26,CROSSLEIGH CRESCENT,BALCLUTHA,,,
"132 ELGIN ROAD, KENMURE, DUNEDIN",NZ,132,ELGIN ROAD,DUNEDIN,,,
"15 PANNERS COVE LANE, CROMWELL",NZ,15,PANNERS COVE LANE,CROMWELL,,,
"161 ELGIN ROAD, MARYHILL, DUNEDIN",NZ,161,ELGIN ROAD,DUNEDIN,,,
"24 NGAPARA STREET, ALEXANDRA",NZ,24,NGAPARA STREET,ALEXANDRA,,,
"121 MULFORD STREET, CONCORD, DUNEDIN",NZ,121,MULFORD STREET,DUNEDIN,,,
"107 MOUNT IRON DRIVE, WANAKA",NZ,107,MOUNT IRON DRIVE,WANAKA,,,
"1 BEACH STREET, SAINT CLAIR, DUNEDIN",NZ,1,BEACH STREET,DUNEDIN,,,
"58 BUSH ROAD, MOSGIEL",NZ,58,BUSH ROAD,MOSGIEL,,,
"23 CHERRY DRIVE, MOSGIEL",NZ,23,CHERRY DRIVE,MOSGIEL,,,
"1 MARSLIN STREET, ALEXANDRA",NZ,1,MARSLIN STREET,ALEXANDRA,,,
"20 DELTA DRIVE, WALDRONVILLE, DUNEDIN",NZ,20,DELTA DRIVE,DUNEDIN,,,
"46 BUTE STREET, RANFURLY",NZ,46,BUTE STREET,RANFURLY,,,
"9 MERIONETH STREET, ARROWTOWN",NZ,9,MERIONETH STREET,ARROWTOWN,,,
"6 TORQUAY STREET, ABBOTSFORD, DUNEDIN",NZ,6,TORQUAY STREET,DUNEDIN,,,
"23 WAVERLEY STREET, SOUTH DUNEDIN, DUNEDIN",NZ,23,WAVERLEY STREET,DUNEDIN,,,
"21 NAIRN STREET, ARROWTOWN",NZ,21,NAIRN STREET,ARROWTOWN,,,
"3 BUTE STREET, RANFURLY",NZ,3,BUTE STREET,RANFURLY,,,
"9 LAMB ROAD, PUKENUI",NZ,9,LAMB ROAD,PUKENUI,,,
"879 HARINGTON POINT ROAD, HARINGTON POINT, DUNEDIN",NZ,879,HARINGTON POINT ROAD,DUNEDIN,,,
"69 TARBERT STREET, ALEXANDRA",NZ,69,TARBERT STREET,ALEXANDRA,,,
"109 CANONGATE, DUNEDIN CENTRAL, DUNEDIN",NZ,109,CANONGATE,DUNEDIN,,,
"24 PRESTON CRESCENT, BELLEKNOWES, DUNEDIN",NZ,24,PRESTON CRESCENT,DUNEDIN,,,
"47 HARINGTON POINT ROAD, PORTOBELLO, DUNEDIN",NZ,47,HARINGTON POINT ROAD,DUNEDIN,,,
"22 SHANNON STREET, ALEXANDRA",NZ,22,SHANNON STREET,ALEXANDRA,,,
"3 MITCHELL STREET, RANFURLY",NZ,3,MITCHELL STREET,RANFURLY,,,
"18A MOLYNEUX AVENUE, CROMWELL",NZ,18A,MOLYNEUX AVENUE,CROMWELL,,,
"21 MARKET STREET, KAITANGATA",NZ,21,MARKET STREET,KAITANGATA,,,
"152 TARBERT STREET, ALEXANDRA",NZ,152,TARBERT STREET,ALEXANDRA,,,
"17 DOUGLAS STREET, BALCLUTHA",NZ,17,DOUGLAS STREET,BALCLUTHA,,,
"22 WHITBY STREET, CLYDE",NZ,22,WHITBY STREET,CLYDE,,,
"20 LYNN STREET, MAORI HILL, DUNEDIN",NZ,20,LYNN STREET,DUNEDIN,,,
"26 THE NUGGETS ROAD, AHURIRI FLAT, KAKA POINT",NZ,26,THE NUGGETS ROAD,KAKA POINT,,,
"33 KINMONT CRESCENT, KINMONT PARK, MOSGIEL",NZ,33,KINMONT CRESCENT,MOSGIEL,,,
"5 TURNER STREET, HALFWAY BUSH, DUNEDIN",NZ,5,TURNER STREET,DUNEDIN,,,
"10 MCCURDY STREET, BROCKVILLE, DUNEDIN",NZ,10,MCCURDY STREET,DUNEDIN,,,
"185 MAITLAND STREET, DUNEDIN CENTRAL, DUNEDIN",NZ,185,MAITLAND STREET,DUNEDIN,,,
"383 PENINSULA ROAD, KELVIN HEIGHTS, QUEENSTOWN",NZ,383,PENINSULA ROAD,QUEENSTOWN,,,
"24 MANUKA STREET, RAVENSBOURNE, DUNEDIN",NZ,24,MANUKA STREET,DUNEDIN,,,
"41 GREENHILL AVENUE, WAKARI, DUNEDIN",NZ,41,GREENHILL AVENUE,DUNEDIN,,,
"11 KINSMAN STREET, KAIKORAI, DUNEDIN",NZ,11,KINSMAN STREET,DUNEDIN,,,
"40 AYR STREET, MOSGIEL",NZ,40,AYR STREET,MOSGIEL,,,
"8 FENWICK STREET, HALFWAY BUSH, DUNEDIN",NZ,8,FENWICK STREET,DUNEDIN,,,
"2A MATTHEW STREET, ABBOTSFORD, DUNEDIN",NZ,2A,MATTHEW STREET,DUNEDIN,,,
"80 CORSTORPHINE ROAD, CORSTORPHINE, DUNEDIN",NZ,80,CORSTORPHINE ROAD,DUNEDIN,,,
"29 COTTER AVENUE, ARROWTOWN",NZ,29,COTTER AVENUE,ARROWTOWN,,,
"12 CRITERION STREET, ARROWTOWN",NZ,12,CRITERION STREET,ARROWTOWN,,,
"39 LINDIS CRESCENT, OTEMATATA",NZ,39,LINDIS CRESCENT,OTEMATATA,,,
"21 HELENA STREET, FORBURY, DUNEDIN",NZ,21,HELENA STREET,DUNEDIN,,,
"449 HIGHGATE, MAORI HILL, DUNEDIN",NZ,449,HIGHGATE,DUNEDIN,,,
"18 TASMAN ROAD, OTEMATATA",NZ,18,TASMAN ROAD,OTEMATATA,,,
"12 BOUNDARY ROAD, ALEXANDRA",NZ,12,BOUNDARY ROAD,ALEXANDRA,,,
"2 QUEEN STREET, MILTON",NZ,2,QUEEN STREET,MILTON,,,
"107 MAIN SOUTH ROAD, GREEN ISLAND, DUNEDIN",NZ,107,MAIN SOUTH ROAD,DUNEDIN,,,
"2 KANE STREET, GREEN ISLAND, DUNEDIN",NZ,2,KANE STREET,DUNEDIN,,,
"23 RATA STREET, KAKA POINT",NZ,23,RATA STREET,KAKA POINT,,,
"7 PALMVIEW DRIVE, RANGIORA",NZ,7,PALMVIEW DRIVE,RANGIORA,,,
"69 HUNTER CRESCENT, WANAKA",NZ,69,HUNTER CRESCENT,WANAKA,,,
"4 WEAVER STREET, QUEENSTOWN",NZ,4,WEAVER STREET,QUEENSTOWN,,,
"1 LEITRUM STREET, CROMWELL",NZ,1,LEITRUM STREET,CROMWELL,,,
"4 STAFFORD ROAD, AWATUNA, HOKITIKA",NZ,4,STAFFORD ROAD,HOKITIKA,,,
"331 FRANKTON ROAD, QUEENSTOWN",NZ,331,FRANKTON ROAD,QUEENSTOWN,,,
"30 HEATHRIDGE PLACE, LINCOLN",NZ,30,HEATHRIDGE PLACE,LINCOLN,,,
"10 CENTENNIAL AVENUE, HELENSBURGH, DUNEDIN",NZ,10,CENTENNIAL AVENUE,DUNEDIN,,,
"23 TURERE PLACE, OTAMATEA, WHANGANUI",NZ,23,TURERE PLACE,WHANGANUI,,,
"26 CROWN STREET, BALCLUTHA",NZ,26,CROWN STREET,BALCLUTHA,,,
"19 COACH ROAD, FAIRFIELD, DUNEDIN",NZ,19,COACH ROAD,DUNEDIN,,,
"21 TAWN PLACE, PUKETE, HAMILTON",NZ,21,TAWN PLACE,HAMILTON,,,
"3 HIGH STREET, PETONE, LOWER HUTT",NZ,3,HIGH STREET,LOWER HUTT,,,
"10 CROSS STREET, MILTON",NZ,10,CROSS STREET,MILTON,,,
"6 BANGOR TERRACE, KEW, DUNEDIN",NZ,6,BANGOR TERRACE,DUNEDIN,,,
"52 ST CATHERINE STREET, KAITANGATA",NZ,52,ST CATHERINE STREET,KAITANGATA,,,
"3 GORGE ROAD, QUEENSTOWN",NZ,3,GORGE ROAD,QUEENSTOWN,,,
"7 TRAQUAIR STREET, CORSTORPHINE, DUNEDIN",NZ,7,TRAQUAIR STREET,DUNEDIN,,,
"6 CLIFFORD STREET, BALCLUTHA",NZ,6,CLIFFORD STREET,BALCLUTHA,,,
"20 STIRLING CRESCENT, MOSGIEL",NZ,20,STIRLING CRESCENT,MOSGIEL,,,
"19 KINSMAN STREET, KAIKORAI, DUNEDIN",NZ,19,KINSMAN STREET,DUNEDIN,,,
"8 ESK PLACE, MOSGIEL",NZ,8,ESK PLACE,MOSGIEL,,,
"25 HEATHRIDGE PLACE, LINCOLN",NZ,25,HEATHRIDGE PLACE,LINCOLN,,,
"37 POOLE STREET, KAITANGATA",NZ,37,POOLE STREET,KAITANGATA,,,
"82 SHIELDS STREET, CLYDE",NZ,82,SHIELDS STREET,CLYDE,,,
"7 VENTRY STREET, ALEXANDRA",NZ,7,VENTRY STREET,ALEXANDRA,,,
"40 COTTER AVENUE, ARROWTOWN",NZ,40,COTTER AVENUE,ARROWTOWN,,,
"37 QUARRY ROAD, GREEN ISLAND, DUNEDIN",NZ,37,QUARRY ROAD,DUNEDIN,,,
"81 TENBY STREET, WANAKA",NZ,81,TENBY STREET,WANAKA,,,
"10 SELKIRK STREET, ROSLYN, DUNEDIN",NZ,10,SELKIRK STREET,DUNEDIN,,,
"498 PORTOBELLO ROAD, MACANDREW BAY, DUNEDIN",NZ,498,PORTOBELLO ROAD,DUNEDIN,,,
"90 PRINCES STREET, DUNEDIN CENTRAL, DUNEDIN",NZ,90,PRINCES STREET,DUNEDIN,,,
"61 LAKESIDE ROAD, WANAKA",NZ,61,LAKESIDE ROAD,WANAKA,,,
"102 LYNN STREET, WAKARI, DUNEDIN",NZ,102,LYNN STREET,DUNEDIN,,,
"41 STORER STREET, KAIAPOI",NZ,41,STORER STREET,KAIAPOI,,,
"37A MIDDLETON ROAD, KEW, DUNEDIN",NZ,37A,MIDDLETON ROAD,DUNEDIN,,,
"95 KAIKORAI VALLEY ROAD, GLENROSS, DUNEDIN",NZ,95,KAIKORAI VALLEY ROAD,DUNEDIN,,,
"30 SMITH STREET, MILTON",NZ,30,SMITH STREET,MILTON,,,
"12 LOMOND CRESCENT, QUEENSTOWN",NZ,12,LOMOND CRESCENT,QUEENSTOWN,,,
"156 TUTU HILL ROAD, KAIHIKU, BALCLUTHA",NZ,156,TUTU HILL ROAD,BALCLUTHA,,,
"24 COOPER STREET, MORNINGTON, DUNEDIN",NZ,24,COOPER STREET,DUNEDIN,,,
"516 MALAGHANS ROAD, SPEARGRASS FLAT, QUEENSTOWN",NZ,516,MALAGHANS ROAD,QUEENSTOWN,,,
"322 TE PUKE HIGHWAY, PAPAMOA",NZ,322,TE PUKE HIGHWAY,PAPAMOA,,,
"311 SOUTH ROAD, CAVERSHAM, DUNEDIN",NZ,311,SOUTH ROAD,DUNEDIN,,,
"40 CEDAR DRIVE, KELVIN HEIGHTS, QUEENSTOWN",NZ,40,CEDAR DRIVE,QUEENSTOWN,,,
"20 LOOP ROAD, BENHAR, BALCLUTHA",NZ,20,LOOP ROAD,BALCLUTHA,,,
"24 BURNS STREET, MOSGIEL",NZ,24,BURNS STREET,MOSGIEL,,,
"115 DISTRICT ROAD, GREEN ISLAND, DUNEDIN",NZ,115,DISTRICT ROAD,DUNEDIN,,,
"24 COCHRANE STREET, MORNINGTON, DUNEDIN",NZ,24,COCHRANE STREET,DUNEDIN,,,
"18 EASTBOURNE STREET, CAVERSHAM, DUNEDIN",NZ,18,EASTBOURNE STREET,DUNEDIN,,,
"195 STONE STREET, WANAKA",NZ,195,STONE STREET,WANAKA,,,
"14 CONSTITUTION STREET, DUNEDIN CENTRAL, DUNEDIN",NZ,14,CONSTITUTION STREET,DUNEDIN,,,
"8 REDWOOD COURT, KELVIN HEIGHTS, QUEENSTOWN",NZ,8,REDWOOD COURT,QUEENSTOWN,,,
"7 SHALE COURT, CROMWELL",NZ,7,SHALE COURT,CROMWELL,,,
"10 BUCKINGHAM STREET, BALACLAVA, DUNEDIN",NZ,10,BUCKINGHAM STREET,DUNEDIN,,,
"19 PANMURE AVENUE, CALTON HILL, DUNEDIN",NZ,19,PANMURE AVENUE,DUNEDIN,,,
"27 ACHILLES PLACE, WANAKA",NZ,27,ACHILLES PLACE,WANAKA,,,
"38 HOCKEN STREET, KENMURE, DUNEDIN",NZ,38,HOCKEN STREET,DUNEDIN,,,
"67 OAKWOOD AVENUE, MARYHILL, DUNEDIN",NZ,67,OAKWOOD AVENUE,DUNEDIN,,,
"13 NOBLE STREET, OWAKA",NZ,13,NOBLE STREET,OWAKA,,,
"1365 HUNT ROAD, OWAKA VALLEY, OWAKA",NZ,1365,HUNT ROAD,OWAKA,,,
"144 SIDEY STREET, CALTON HILL, DUNEDIN",NZ,144,SIDEY STREET,DUNEDIN,,,
"25 GLADSTONE ROAD SOUTH, MOSGIEL",NZ,25,GLADSTONE ROAD SOUTH,MOSGIEL,,,
"39 DOUGLAS STREET, FRANKTON, QUEENSTOWN",NZ,39,DOUGLAS STREET,QUEENSTOWN,,,
"16 LAW STREET, CAVERSHAM, DUNEDIN",NZ,16,LAW STREET,DUNEDIN,,,
"423 TAIERI ROAD, HALFWAY BUSH, DUNEDIN",NZ,423,TAIERI ROAD,DUNEDIN,,,
"114 ASHLEY PLACE, MATARANGI, WHITIANGA",NZ,114,ASHLEY PLACE,WHITIANGA,,,
"20 CARDIGAN STREET, ARROWTOWN",NZ,20,CARDIGAN STREET,ARROWTOWN,,,
"122 SURREY STREET, FORBURY, DUNEDIN",NZ,122,SURREY STREET,DUNEDIN,,,
"103 FORFAR STREET, MOSGIEL",NZ,103,FORFAR STREET,MOSGIEL,,,
"3B CLUTHA STREET, ALEXANDRA",NZ,3B,CLUTHA STREET,ALEXANDRA,,,
"6 LITTLEBOURNE ROAD, ROSLYN, DUNEDIN",NZ,6,LITTLEBOURNE ROAD,DUNEDIN,,,
"34 MAIN ROAD, FAIRFIELD, DUNEDIN",NZ,34,MAIN ROAD,DUNEDIN,,,
"46 STUART ROAD, RANFURLY",NZ,46,STUART ROAD,RANFURLY,,,
"47 FALCON STREET, KAIKORAI, DUNEDIN",NZ,47,FALCON STREET,DUNEDIN,,,
"14 KILBURN AVENUE, MOSGIEL",NZ,14,KILBURN AVENUE,MOSGIEL,,,
"1 AURUM LANE, FERNHILL, QUEENSTOWN",NZ,1,AURUM LANE,QUEENSTOWN,,,
"128 CANNINGTON ROAD, MAORI HILL, DUNEDIN",NZ,128,CANNINGTON ROAD,DUNEDIN,,,
"42 BRUNSWICK STREET, QUEENSTOWN",NZ,42,BRUNSWICK STREET,QUEENSTOWN,,,
"9 SPEY STREET, MOSGIEL",NZ,9,SPEY STREET,MOSGIEL,,,
"13 BERNARD STREET, KENMURE, DUNEDIN",NZ,13,BERNARD STREET,DUNEDIN,,,
"134 ROXBURGH STREET, HERIOT, TAPANUI",NZ,134,ROXBURGH STREET,TAPANUI,,,
"17 SELKIRK STREET, ROSLYN, DUNEDIN",NZ,17,SELKIRK STREET,DUNEDIN,,,
"91 FALLA BURN ROAD, HILLEND, BALCLUTHA",NZ,91,FALLA BURN ROAD,BALCLUTHA,,,
"10 CHERRY LANE, BALCLUTHA",NZ,10,CHERRY LANE,BALCLUTHA,,,
"90 MACPHERSON STREET, WANAKA",NZ,90,MACPHERSON STREET,WANAKA,,,
"23 MAYFIELD AVENUE, WAKARI, DUNEDIN",NZ,23,MAYFIELD AVENUE,DUNEDIN,,,
"264 KURIWAO SIDING ROAD, CLINTON",NZ,264,KURIWAO SIDING ROAD,CLINTON,,,
"109 KELLY JADE AVENUE, MATARANGI, WHITIANGA",NZ,109,KELLY JADE AVENUE,WHITIANGA,,,
"88 CORSTORPHINE ROAD, CORSTORPHINE, DUNEDIN",NZ,88,CORSTORPHINE ROAD,DUNEDIN,,,
"41 NEWHAVEN ROAD, NEW HAVEN, OWAKA",NZ,41,NEWHAVEN ROAD,OWAKA,,,
"1 SUNRISE LANE, QUEENSTOWN",NZ,1,SUNRISE LANE,QUEENSTOWN,,,
"45 GREY STREET, ALLANTON, MOSGIEL",NZ,45,GREY STREET,MOSGIEL,,,
"24 JOHNSON STREET, MILTON",NZ,24,JOHNSON STREET,MILTON,,,
"4 DRUMCLOG STREET, BALCLUTHA",NZ,4,DRUMCLOG STREET,BALCLUTHA,,,
"84 GORDON STREET, KUROW",NZ,84,GORDON STREET,KUROW,,,
"207 NGUNGURU ROAD, GLENBERVIE, WHANGAREI",NZ,207,NGUNGURU ROAD,WHANGAREI,,,
"29 PATRICK STREET, THE GLEN, DUNEDIN",NZ,29,PATRICK STREET,DUNEDIN,,,
"14 WRATTEN ROAD, OWAKA",NZ,14,WRATTEN ROAD,OWAKA,,,
"20 MALCOLM TERRACE, BALCLUTHA",NZ,20,MALCOLM TERRACE,BALCLUTHA,,,
"4 THORN CRESCENT, FERNHILL, QUEENSTOWN",NZ,4,THORN CRESCENT,QUEENSTOWN,,,
"1349 GREENVALE ROAD, CROSSANS CORNER, GORE",NZ,1349,GREENVALE ROAD,GORE,,,
"12 ATHENRY ROAD, BRIDGE HILL, ALEXANDRA",NZ,12,ATHENRY ROAD,ALEXANDRA,,,
"134 GLADSTONE ROAD NORTH, MOSGIEL",NZ,134,GLADSTONE ROAD NORTH,MOSGIEL,,,
"40 BULLER CRESCENT, OTEMATATA",NZ,40,BULLER CRESCENT,OTEMATATA,,,
"54 ERRIS STREET, CROMWELL",NZ,54,ERRIS STREET,CROMWELL,,,
"59 DULEY ROAD, OWAKA VALLEY, OWAKA",NZ,59,DULEY ROAD,OWAKA,,,
"5 CATTLE VALLEY ROAD, KUROW",NZ,5,CATTLE VALLEY ROAD,KUROW,,,
"96 PANMURE AVENUE, CALTON HILL, DUNEDIN",NZ,96,PANMURE AVENUE,DUNEDIN,,,
"16 JOE BROWN AVENUE, MOSGIEL",NZ,16,JOE BROWN AVENUE,MOSGIEL,,,
"40 BELL CRESCENT, CONCORD, DUNEDIN",NZ,40,BELL CRESCENT,DUNEDIN,,,
"3 AYR STREET, BALCLUTHA",NZ,3,AYR STREET,BALCLUTHA,,,
"23 EPSILON STREET, BELLEKNOWES, DUNEDIN",NZ,23,EPSILON STREET,DUNEDIN,,,
"11 ETTRICK STREET, GLENROSS, DUNEDIN",NZ,11,ETTRICK STREET,DUNEDIN,,,
"6 BEACON POINT ROAD, WANAKA",NZ,6,BEACON POINT ROAD,WANAKA,,,
"1062 FRANKTON ROAD, FRANKTON, QUEENSTOWN",NZ,1062,FRANKTON ROAD,QUEENSTOWN,,,
"2 DRYDEN STREET, MOSGIEL",NZ,2,DRYDEN STREET,MOSGIEL,,,
"24 GRANVILLE TERRACE, BELLEKNOWES, DUNEDIN",NZ,24,GRANVILLE TERRACE,DUNEDIN,,,
"5 ELDERLEE STREET, MILTON",NZ,5,ELDERLEE STREET,MILTON,,,
"107 FORFAR STREET, MARYHILL, DUNEDIN",NZ,107,FORFAR STREET,DUNEDIN,,,
"21 BLACKMORE CRESCENT, ALEXANDRA",NZ,21,BLACKMORE CRESCENT,ALEXANDRA,,,
"208 HUNT ROAD, CRAIGELLACHIE, LAWRENCE",NZ,208,HUNT ROAD,LAWRENCE,,,
"16 CHAUCER STREET, MILTON",NZ,16,CHAUCER STREET,MILTON,,,
"5 FRYER STREET, QUEENSTOWN",NZ,5,FRYER STREET,QUEENSTOWN,,,
"574 BLACK ROCK RUNS ROAD, LEE FLAT, OUTRAM",NZ,574,BLACK ROCK RUNS ROAD,OUTRAM,,,
"197 MACANDREW ROAD, SOUTH DUNEDIN, DUNEDIN",NZ,197,MACANDREW ROAD,DUNEDIN,,,
"22 BELFAST TERRACE, QUEENSTOWN",NZ,22,BELFAST TERRACE,QUEENSTOWN,,,
"22 HARWICH STREET, BALCLUTHA",NZ,22,HARWICH STREET,BALCLUTHA,,,
"21 PERKINS ROAD, FRANKTON, QUEENSTOWN",NZ,21,PERKINS ROAD,QUEENSTOWN,,,
"14A MAIN SOUTH ROAD, CONCORD, DUNEDIN",NZ,14A,MAIN SOUTH ROAD,DUNEDIN,,,
"291 DIVAN ROAD, LEVELS, TIMARU",NZ,291,DIVAN ROAD,TIMARU,,,
"808 KANE ROAD, HAWEA FLAT, LAKE HAWEA",NZ,808,KANE ROAD,LAKE HAWEA,,,
"206 WAITAKI DRIVE WEST, OTEMATATA",NZ,206,WAITAKI DRIVE WEST,OTEMATATA,,,
"117G GLENGARRY ROAD, GLEN EDEN, AUCKLAND",NZ,117G,GLENGARRY ROAD,AUCKLAND,AUCKLAND,,
"12 MAIN ROAD, CLINTON",NZ,12,MAIN ROAD,CLINTON,,,
"2B LARCH HILL PLACE, QUEENSTOWN",NZ,2B,LARCH HILL PLACE,QUEENSTOWN,,,
"733 BRIGHTON ROAD, OCEAN VIEW, DUNEDIN",NZ,733,BRIGHTON ROAD,DUNEDIN,,,
"97 SHETLAND STREET, WAKARI, DUNEDIN",NZ,97,SHETLAND STREET,DUNEDIN,,,
"18 ANN STREET, ROSLYN, DUNEDIN",NZ,18,ANN STREET,DUNEDIN,,,
"21 BOWEN STREET, QUEENSTOWN",NZ,21,BOWEN STREET,QUEENSTOWN,,,
"13 CLARITON AVENUE, GREEN ISLAND, DUNEDIN",NZ,13,CLARITON AVENUE,DUNEDIN,,,
"24 FRANCES STREET, TAIERI BEACH, TAIERI MOUTH",NZ,24,FRANCES STREET,TAIERI MOUTH,,,
"23 LEWIN STREET, BALCLUTHA",NZ,23,LEWIN STREET,BALCLUTHA,,,
"91 MCBRIDE STREET, FRANKTON, QUEENSTOWN",NZ,91,MCBRIDE STREET,QUEENSTOWN,,,
"44 ADAMSON DRIVE, ARROWTOWN",NZ,44,ADAMSON DRIVE,ARROWTOWN,,,
"48 LAWRENCE STREET, MORNINGTON, DUNEDIN",NZ,48,LAWRENCE STREET,DUNEDIN,,,
"8 FRANCES STREET, TAIERI BEACH, TAIERI MOUTH",NZ,8,FRANCES STREET,TAIERI MOUTH,,,
"11 OXFORD STREET, BALCLUTHA",NZ,11,OXFORD STREET,BALCLUTHA,,,
"1 ARDROSSAN STREET, LAWRENCE",NZ,1,ARDROSSAN STREET,LAWRENCE,,,
"14 FULTON ROAD, GLENLEITH, DUNEDIN",NZ,14,FULTON ROAD,DUNEDIN,,,
"48 PANMURE AVENUE, CALTON HILL, DUNEDIN",NZ,48,PANMURE AVENUE,DUNEDIN,,,
"11 MAN STREET, QUEENSTOWN",NZ,11,MAN STREET,QUEENSTOWN,,,
"6 ACHILLES AVENUE, SAINT CLAIR, DUNEDIN",NZ,6,ACHILLES AVENUE,DUNEDIN,,,
"8 ABINGDON PLACE, MOSGIEL",NZ,8,ABINGDON PLACE,MOSGIEL,,,
"23 KINMONT CRESCENT, KINMONT PARK, MOSGIEL",NZ,23,KINMONT CRESCENT,MOSGIEL,,,
"4 MCKELLAR STREET, ALEXANDRA",NZ,4,MCKELLAR STREET,ALEXANDRA,,,
"67 KENMURE ROAD, BELLEKNOWES, DUNEDIN",NZ,67,KENMURE ROAD,DUNEDIN,,,
"142 WAENGA DRIVE, CROMWELL",NZ,142,WAENGA DRIVE,CROMWELL,,,
"2 FOYLE STREET, NASEBY",NZ,2,FOYLE STREET,NASEBY,,,
"53 WARREN STREET, WANAKA",NZ,53,WARREN STREET,WANAKA,,,
"525 MOUNTFIELD ROAD, WAIPU",NZ,525,MOUNTFIELD ROAD,WAIPU,,,
"99 GLENROSS STREET, GLENROSS, DUNEDIN",NZ,99,GLENROSS STREET,DUNEDIN,,,
"17 HARWICH STREET, BALCLUTHA",NZ,17,HARWICH STREET,BALCLUTHA,,,
"35 TENNYSON STREET, DUNEDIN CENTRAL, DUNEDIN",NZ,35,TENNYSON STREET,DUNEDIN,,,
"135 ASHMORE STREET, HALFWAY BUSH, DUNEDIN",NZ,135,ASHMORE STREET,DUNEDIN,,,
"89 WAENGA DRIVE, CROMWELL",NZ,89,WAENGA DRIVE,CROMWELL,,,
"15 PICARDY STREET, MARYHILL, DUNEDIN",NZ,15,PICARDY STREET,DUNEDIN,,,
"12 DEVON STREET, ARROWTOWN",NZ,12,DEVON STREET,ARROWTOWN,,,
"23 PEEL STREET, MORNINGTON, DUNEDIN",NZ,23,PEEL STREET,DUNEDIN,,,
"5 DAKOTA PLACE, WALDRONVILLE, DUNEDIN",NZ,5,DAKOTA PLACE,DUNEDIN,,,
"64 SKIBO STREET, KEW, DUNEDIN",NZ,64,SKIBO STREET,DUNEDIN,,,
"44 BLACK PEAK ROAD, OMARAMA, OMARAMA",NZ,44,BLACK PEAK ROAD,OMARAMA,,,
"14 MARINA DRIVE, FRANKTON, QUEENSTOWN",NZ,14,MARINA DRIVE,QUEENSTOWN,,,
"41 HUNTER CRESCENT, WANAKA",NZ,41,HUNTER CRESCENT,WANAKA,,,
"48 LEVEN STREET, ROSLYN, DUNEDIN",NZ,48,LEVEN STREET,DUNEDIN,,,
"27 GORDON STREET, KUROW",NZ,27,GORDON STREET,KUROW,,,
"530 THE NUGGETS ROAD, AHURIRI FLAT, KAKA POINT",NZ,530,THE NUGGETS ROAD,KAKA POINT,,,
"4 KEATOA TERRACE, OWAKA",NZ,4,KEATOA TERRACE,OWAKA,,,
"251 BROCKVILLE ROAD, BROCKVILLE, DUNEDIN",NZ,251,BROCKVILLE ROAD,DUNEDIN,,,
"33 PEAK CRESCENT, KAIAPOI",NZ,33,PEAK CRESCENT,KAIAPOI,,,
"13 PAISLEY STREET, BALCLUTHA",NZ,13,PAISLEY STREET,BALCLUTHA,,,
"41 MOOLTAN STREET, HALFWAY BUSH, DUNEDIN",NZ,41,MOOLTAN STREET,DUNEDIN,,,
"9 KNOWLES CRESCENT, RANFURLY",NZ,9,KNOWLES CRESCENT,RANFURLY,,,
"37 GREENHILL AVENUE, WAKARI, DUNEDIN",NZ,37,GREENHILL AVENUE,DUNEDIN,,,
"768 HARINGTON POINT ROAD, OTAKOU, DUNEDIN",NZ,768,HARINGTON POINT ROAD,DUNEDIN,,,
"8 ELLIS STREET, ALEXANDRA",NZ,8,ELLIS STREET,ALEXANDRA,,,
"4 VASARI GRANGE, ROLLESTON",NZ,4,VASARI GRANGE,ROLLESTON,,,
"4A GORDON ROAD, WESTERN HEIGHTS, ROTORUA",NZ,4A,GORDON ROAD,ROTORUA,,,
"18 LOMAS WAY, ALBANY, AUCKLAND",NZ,18,LOMAS WAY,AUCKLAND,AUCKLAND,,
"117 EASTHER CRESCENT, KEW, DUNEDIN",NZ,117,EASTHER CRESCENT,DUNEDIN,,,
"42 MATHESON ROAD, WHAKAPARA, HIKURANGI",NZ,42,MATHESON ROAD,HIKURANGI,,,
"78 PASSMORE CRESCENT, MAORI HILL, DUNEDIN",NZ,78,PASSMORE CRESCENT,DUNEDIN,,,
"15 REID CRESCENT, ARROWTOWN",NZ,15,REID CRESCENT,ARROWTOWN,,,
"43 UPTON STREET, WANAKA",NZ,43,UPTON STREET,WANAKA,,,
"18 MAIN ROAD, FAIRFIELD, DUNEDIN",NZ,18,MAIN ROAD,DUNEDIN,,,
"21 CLEGHORN STREET, UPPER JUNCTION, DUNEDIN",NZ,21,CLEGHORN STREET,DUNEDIN,,,
"340 STATE HIGHWAY 16, KUMEU",NZ,340,STATE HIGHWAY 16,KUMEU,,,
"10 JAMES STREET, BALCLUTHA",NZ,10,JAMES STREET,BALCLUTHA,,,
"17 NGAPARA STREET, ALEXANDRA",NZ,17,NGAPARA STREET,ALEXANDRA,,,
"10 GYLE PLACE, PYES PA, TAURANGA",NZ,10,GYLE PLACE,TAURANGA,,,
"7 HILL STREET, KAKA POINT",NZ,7,HILL STREET,KAKA POINT,,,
"60 GOLDFIELD HEIGHTS, QUEENSTOWN",NZ,60,GOLDFIELD HEIGHTS,QUEENSTOWN,,,
"59 LEWIN STREET, BALCLUTHA",NZ,59,LEWIN STREET,BALCLUTHA,,,
"16 KIRRIEMUIR STREET, MARYHILL, DUNEDIN",NZ,16,KIRRIEMUIR STREET,DUNEDIN,,,
